Altitude,Latitude,Longitude,Velocity,Date,Cordinates
258.9379727,-40.72779427,47.69289407,17137.95618,11/30/2017 2:28,"[[-40.727794270479,47.692894069594]]"
262.1241248,-47.28462899,52.35812748,17129.31672,11/30/2017 7:20,"[[-47.284628989368,52.358127481419]]"
254.8675581,-11.04819173,27.78372532,17144.0098,11/30/2017 12:12,"[[-11.048191725767,27.783725319458]]"
253.9013314,31.18950426,-9.135284721,17154.69685,11/30/2017 17:04,"[[31.189504264956,-9.1352847205284]]"
255.261711,51.35274842,-11.6003646,17159.17308,11/30/2017 21:56,"[[51.352748415762,-11.600364601599]]"
250.656982,21.96695594,-24.51804941,17164.04811,12/1/2017 2:48,"[[21.966955942945,-24.518049410004]]"
253.7381273,-20.91073698,-62.72130772,17151.09205,12/1/2017 7:40,"[[-20.910736979378,-62.721307721353]]"
262.0890952,-51.11431123,-77.04756651,17131.14802,12/1/2017 12:32,"[[-51.114311226202,-77.047566514591]]"
258.7289856,-32.35107978,-78.53857068,17135.46509,12/1/2017 17:24,"[[-32.351079778099,-78.538570676004]]"
252.9949355,9.719490552,-115.1064617,17151.21659,12/1/2017 22:16,"[[9.7194905522624,-115.10646165227]]"
255.2634654,46.6362499,-140.6368208,17156.67293,12/2/2017 3:08,"[[46.63624989878,-140.63682081307]]"
253.2294054,41.33982923,-135.0849131,17162.22862,12/2/2017 8:00,"[[41.339829231824,-135.08491313957]]"
250.5247426,1.416234674,-166.600043,17160.42514,12/2/2017 12:52,"[[1.4162346735049,-166.60004299261]]"
258.5030437,-39.19402273,160.2212443,17139.66956,12/2/2017 17:44,"[[-39.194022731261,160.22124430449]]"
262.0487033,-48.18396305,164.4916488,17129.83868,12/2/2017 22:36,"[[-48.183963046843,164.49164881877]]"
254.9169791,-12.79591862,141.5862351,17143.96278,12/3/2017 3:28,"[[-12.795918624082,141.58623510399]]"
253.6947344,29.64814562,104.2813149,17154.67583,12/3/2017 8:20,"[[29.648145619907,104.28131489744]]"
255.3903549,51.60712179,100.1797467,17158.64597,12/3/2017 13:12,"[[51.607121791902,100.17974668487]]"
250.8960352,23.58157938,89.16035116,17163.57151,12/3/2017 18:04,"[[23.58157938127,89.160351157175]]"
253.4343184,-19.28464282,51.02269608,17151.73297,12/3/2017 22:56,"[[-19.284642821277,51.022696078297]]"
261.8613637,-50.70201555,34.88699905,17131.84482,12/4/2017 3:48,"[[-50.702015553023,34.886999054139]]"
258.839055,-33.78220886,34.85106481,17135.61487,12/4/2017 8:40,"[[-33.782208857579,34.851064809463]]"
252.9829741,8.060911895,-1.192627852,17150.94425,12/4/2017 13:32,"[[8.06091189458,-1.1926278518244]]"
255.2989462,45.68718488,-28.09039961,17155.98221,12/4/2017 18:24,"[[45.68718488245,-28.090399608096]]"
253.6035149,42.5071766,-22.17421448,17161.24533,12/4/2017 23:16,"[[42.507176603216,-22.174214477161]]"
250.4767379,3.069730664,-52.64334823,17160.63356,12/5/2017 4:08,"[[3.0697306635563,-52.643348233319]]"
257.9695701,-37.9210592,-86.62240924,17141.14447,12/5/2017 9:00,"[[-37.921059198449,-86.62240923571]]"
261.9001103,-48.91631722,-83.15159257,17130.75821,12/5/2017 13:52,"[[-48.916317218434,-83.151592566671]]"
254.956517,-14.37936961,-104.4927805,17144.10864,12/5/2017 18:44,"[[-14.379369614005,-104.49278047931]]"
253.6245237,28.20669399,-142.0987078,17154.27241,12/5/2017 23:36,"[[28.206693988124,-142.09870781281]]"
255.6903382,51.74786106,-147.801107,17157.42733,12/6/2017 4:28,"[[51.747861061285,-147.80110696711]]"
251.2057338,25.06532972,-157.0818565,17162.81382,12/6/2017 9:20,"[[25.065329723749,-157.08185649991]]"
253.0639583,-17.76250981,164.9039455,17152.70267,12/6/2017 14:12,"[[-17.762509806688,164.90394545999]]"
261.4610935,-50.23888483,147.1568993,17133.1502,12/6/2017 19:04,"[[-50.238884827094,147.15689931161]]"
258.8519289,-35.06871091,148.3479884,17136.08655,12/6/2017 23:56,"[[-35.068710912701,148.34798844257]]"
252.9088688,6.558467714,112.8637734,17150.94866,12/7/2017 4:48,"[[6.5584677137562,112.86377336435]]"
255.2953178,44.78161689,84.81378413,17155.42555,12/7/2017 9:40,"[[44.781616890143,84.813784130923]]"
253.9589863,43.50842402,90.91672577,17160.202,12/7/2017 14:32,"[[43.508424018454,90.916725772272]]"
250.5243387,4.541426667,61.45555539,17160.43456,12/7/2017 19:24,"[[4.5414266671738,61.455555393491]]"
257.5084865,-36.76197275,26.83838388,17142.33879,12/8/2017 0:16,"[[-36.761972746407,26.838383877088]]"
261.6791015,-49.49798128,29.48809822,17131.84135,12/8/2017 5:08,"[[-49.497981281697,29.488098216551]]"
254.9225499,-15.758639,9.574887276,17144.49543,12/8/2017 10:00,"[[-15.758639001319,9.574887276409]]"
253.4855929,26.93693916,-28.23317856,17154.19618,12/8/2017 14:52,"[[26.936939160295,-28.233178556785]]"
255.8629099,51.79592427,-35.369064,17156.64237,12/8/2017 19:44,"[[51.795924270882,-35.369063999772]]"
251.4979244,26.3336855,-43.15039233,17162.02492,12/9/2017 0:36,"[[26.333685495699,-43.150392334479]]"
252.8287945,-16.44555276,-81.00375967,17153.17171,12/9/2017 5:28,"[[-16.445552755576,-81.003759672493]]"
261.0971235,-49.7759087,-100.136559,17134.30523,12/9/2017 10:20,"[[-49.775908702081,-100.1365590462]]"
258.863455,-36.17537997,-97.99004796,17136.50517,12/9/2017 15:12,"[[-36.17537996995,-97.990047959261]]"
252.8028481,5.229701415,-132.9379011,17151.17177,12/9/2017 20:04,"[[5.2297014150437,-132.93790108219]]"
255.231675,43.94171631,-161.9531941,17155.18627,12/10/2017 0:56,"[[43.941716307305,-161.95319410723]]"
254.269433,44.36121656,-155.8113207,17159.31144,12/10/2017 5:48,"[[44.36121656084,-155.81132068332]]"
250.5944276,5.849156013,175.6741562,17160.20864,12/10/2017 10:40,"[[5.8491560127496,175.67415620084]]"
257.2098102,-35.70368247,140.5299977,17142.97685,12/10/2017 15:32,"[[-35.703682466742,140.52999768061]]"
